B2745;Traction Control Switch Circuit
;"K33 HVAC Control Module Lost Communication with M6CR Air Temperature Door Actuator - Center Console Right Auxiliary on LIN Bus"
;"K40D Seat Memory Control Module - Driver Lost Communication with K134D Seat Bolster Memory Control Module - Driver on LIN Bus"
;"K40P Seat Memory Control Module - Passenger Lost Communication with K134P Seat Bolster Memory Control Module - Passenger on LIN Bus"
U1521;"K9 Body Control Module Lost Communication with S48E Multifunction Switch - Center Console on LIN Bus"
;"K26 Headlamp Control Module / K28 Headlamp Leveling Control Module Lost Communication with E13L Headlamp - Left on LIN Bus"
U1522;"K9 Body Control Module Lost Communication with K65 Tire Pressure Indicator Module / B178 Tire Pressure Sensor Locator Module on LIN Bus"
;"K26 Headlamp Control Module / K28 Headlamp Leveling Control Module Lost Communication with E13R Headlamp - Right on LIN Bus"
;"K33 HVAC Control Module Lost Communication with M6UR Air Temperature Door Actuator - Right Upper Auxiliary on LIN Bus"
U1523;"K26 Headlamp Control Module / K28 Headlamp Leveling Control Module Lost Communication with E13L Headlamp - Left on LIN Bus"
U1524;"K9 Body Control Module Lost Communication with K29 Seat Heating Control Module / K29F Seat Heating Control Module - Front on LIN Bus"
;"K26 Headlamp Control Module / K28 Headlamp Leveling Control Module Lost Communication with E13R Headlamp - Right on LIN Bus"
;"K33 HVAC Control Module Lost Communication with K10 Coolant Heater Control Module on LIN Bus"
U1525;"K33 HVAC Control Module Lost Communication with K10 Coolant Heater Control Module on LIN Bus"
U1526;"K9 Body Control Module Lost Communication with K29R Seat Heating Control Module - Rear on LIN Bus"
U1528;"K33 HVAC Control Module Lost Communication with M37B Mode Door Actuator - Auxiliary on LIN Bus"
;"K40D Seat Memory Control Module - Driver Lost Communication with S64D Seat Adjuster Switch - Driver on LIN Bus"
;"K40P Seat Memory Control Module - Passenger Lost Communication with S64P Seat Adjuster Switch - Passenger on LIN Bus"
U152A;"K33 HVAC Control Module Lost Communication with M6UL Air Temperature Door Actuator - Left Upper Auxiliary on LIN Bus"
U152B;"K33 HVAC Control Module Lost Communication with K32 Steering Wheel Heating Control Module on LIN Bus"
U152C;"K9 Body Control Module Lost Communication with K18 Compass Module on LIN Bus"
U152D;"K9 Body Control Module Lost Communication with P2 Transmission Shift Lever Position Indicator on LIN Bus
K33 HVAC Control Module Lost Communication with V1 Air Ionizer on LIN Bus"
U1530;"K9 Body Control Module Lost Communication with M35P Window Motor Module - Passenger / M74P Window Motor - Passenger on LIN Bus"
U1531;"K26 Headlamp Control Module / K28 Headlamp Leveling Control Module Lost Communication with E13LA Headlamp Assembly - Left on LIN Bus"
U1532;"K26 Headlamp Control Module / K28 Headlamp Leveling Control Module Lost Communication with E13RA Headlamp Assembly - Right on LIN Bus"
U1534;"K9 Body Control Module Lost Communication with M74D Window Motor - Driver on LIN Bus"
U1538;"K9 Body Control Module Lost Communication with S79D Window Switch - Driver / S146 Window/Outside Rearview Mirror Switch - Driver on LIN Bus"
U153A;"K9 Body Control Module Lost Communication with S79P Window Switch - Passenger on LIN Bus"
U1540;"K9 Body Control Module Lost Communication with M74RR Window Motor - Right Rear on LIN Bus"
U1544;"K9 Body Control Module Lost Communication with M74LR Window Motor - Left Rear on LIN Bus"
U1548;"K9 Body Control Module Lost Communication with S79LR Window Switch - Left Rear on LIN Bus"
U1549;"K9 Body Control Module Lost Communication with M45 Rear Wiper Motor on LIN Bus"
U154A;"K9 Body Control Module Lost Communication with S79RR Window Switch - Right Rear on LIN Bus"
U154B;"K9 Body Control Module Lost Communication with K49 Rear Seat Control Module on LIN Bus"
U1550;"K9 Body Control Module Lost Communication with S31D Seat Heating and Cooling Switch - Driver on LIN Bus"
U1551;"K9 Body Control Module Lost Communication with K33 HVAC Control Module on LIN Bus"
U1555;"K9 Body Control Module Lost Communication with S100LR Seat Heating/Venting /Cooling Switch - Left Rear on LIN Bus"
U1556;"K38 Chassis Control Module Lost Communication with K133 Trailer Brake Power Control Module on LIN Bus"
U1558;"K9 Body Control Module Lost Communication with S31P Seat Heating and Cooling Switch - Passenger on LIN Bus"
U1559;"K9 Body Control Module Lost Communication with K183 Short Range Remote Control Transceiver on LIN Bus"
U155D;"K9 Body Control Module Lost Communication with S100RR Seat Heating/Venting/Cooling Switch - Right Rear on LIN Bus"
U156D;"K38 Chassis Control Module Lost Communication with S3 Transmission Shift Lever on LIN Bus"
U15E1;"A11 Radio Lost Communication with A26 HVAC Controls / P17 Info Display Module on LIN Bus"
U15F0;"K74 Human Machine Interface Control Module Lost Communication with P17 Info Display Module on LIN Bus"
;"A11 Radio Lost Communication with A20 Radio/HVAC Controls / A22 Radio Controls / P17 Info Display Module on LIN Bus"
U15F1;"K74 Human Machine Interface Control Module Lost Communication with K188 Human Machine Interface Control Module Bypass Module on LIN Bus"
U15F3;"K74 Human Machine Interface Control Module Lost Communication with K31 Navigation Control Module on LIN Bus"
U1653;Chassis Systems High Speed Communication Enable Circuit
U1725;"Left Headlamp High Beam Control Module Lost Communication with Left Headlamp Low Beam Control Module"
U1726;"Right Headlamp High Beam Control Module Lost Communication with Right Headlamp Low Beam Control Module"
U1727;"Right Headlamp High Beam Control Module Lost Communication with Right Headlamp Leveling Actuator"
U1728;"Left Headlamp High Beam Control Module Lost Communication with Left Headlamp Leveling Actuator"
U1729;"Right High Beam Control Module Lost Communication with Right Headlamp Horizontal Motor"
U172A;"Left High Beam Control Module Lost Communication with Left Headlamp Horizontal Motor"
U1793;"14V Power Module Lost Communication with Hybrid/EV Powertrain Control Module on Powertrain Expansion Communication Bus"
U1795;14V Power Module Powertrain Expansion Communication Bus Off
U179A;Lost Communication with Hybrid/EV Powertrain Control Module 2
U179C;"Lost Communication with One or More Hybrid/EV Battery Interface Control Modules"
U179D;"Lost Communication with Brake System Control Module 2 on Chassis Expansion Bus"
U1803;Lost Communication with Hybrid/EV Powertrain Control Module 2
U1804;Lost Communication with Inside Rearview Mirror Control Module
U1806;Battery Energy Control Module High Voltage Energy Management CAN Bus Off
U1807;Battery Charger Control Module High Voltage Energy Management CAN Bus Off
U180A;Electric A/C Compressor Control Module High Speed CAN Bus Off
U180B;Battery Energy Control Module High Speed CAN Bus Off
U180C;Battery Charger Control Module High Speed CAN Bus Off
U180D;Electronic Brake Control Module Chassis Expansion CAN Bus Off
U1811;Battery Energy Control Module Powertrain Expansion CAN Bus Off
U1814;Powertrain Wake-Up Communication Circuit
U1815;Lost Communication with Drive Motor Control Module 1 on Bus B
U1816;Lost Communication with Drive Motor Control Module B on Bus B
U1817;"Lost Communication with Hybrid/EV Powertrain Control Module on Powertrain Expansion CAN Bus"
U1818;"Lost Communication with Engine Control Module on Powertrain Expansion Communication Bus"
U1821;"Lost Communication with 14V Power Module on Powertrain Expansion Communication Bus"
U1826;"Lost Communication with Multi-Axis Acceleration Sensor Module on Powertrain Expansion CAN Bus"
U1827;"Lost Communication with Steering Angle Sensor Module on Powertrain Expansion CAN Bus"
U182A;"Hybrid/EV Powertrain Control Module Lost Communication with Battery Energy Control Module on Powertrain Expansion CAN Bus"
U182D;"Lost Communication with Hybrid/EV Powertrain Control Module 2 on Powertrain Expansion Communication Bus"
U182E;"Drive Motor Control Module 1 Lost Communication with Hybrid/EV Powertrain Control Module 2 on Powertrain Expansion Communication Bus"
U182F;"Drive Motor Control Module 2 Lost Communication with Hybrid/EV Powertrain Control Module 2 on Powertrain Expansion Communication Bus"
U1831;"Drive Motor Control Module 1 Lost Communication with Hybrid/EV Powertrain Control Module on Powertrain Expansion CAN Bus"
U1833;"Lost Communication with Electronic Brake Control Module on Chassis Expansion CAN Bus"
U1838;"Lost Communication with Battery Charger Control Module on High Voltage Energy Management CAN Bus"
U1839;"Auxiliary Transmission Fluid Pump Control Module Lost Communication with Engine Control Module"
U183A;"Lost Communication with Telematics Communication Interface Control Module on High Speed CAN Bus"
U183B;"Auxiliary Transmission Fluid Pump Control Module Lost Communication with Transmission Control Module"
U183C;"Auxiliary Transmission Fluid Pump Control Module Lost Communication with Hybrid/EV Powertrain Control Module 2 on Powertrain Expansion Communication Bus"
U183E;"Lost Communication with Telematics Communication Interface Control Module on Low Speed CAN Bus"
U1844;"Battery Energy Control Module Lost Communication with Hybrid/EV Powertrain Control Module on Bus B"
U1845;"Drive Motor Control Module 1 Lost Communication with Hybrid/EV Powertrain Control Module"
U1846;"Drive Motor Control Module 2 Lost Communication with Hybrid/EV Powertrain Control Module"
U2615;"Auxiliary Transmission Fluid Pump Control Module Lost Communication with Hybrid/EV Powertrain Control Module 2"
U2616;Fuel Pump Driver Control Module Lost Communication with ECM
U2617;"Battery Energy Control Module Lost Communication with Hybrid/EV Battery Interface Control Module 5"
U2618;"Battery Energy Control Module Lost Communication with Hybrid/EV Battery Interface Control Module 6"
U2619;"Battery Energy Control Module Lost Communication with Hybrid/EV Battery Interface Control Module 7"
U2620;"Battery Energy Control Module Lost Communication with Hybrid/EV Battery Interface Control Module 8"
U2621;"Battery Energy Control Module Lost Communication with Hybrid/EV Battery Interface Control Module 9"
U2622;"Battery Energy Control Module Lost Communication with Hybrid/EV Battery Interface Control Module 10"
U2623;"Battery Energy Control Module Lost Communication with Hybrid/EV Battery Interface Control Module 11"
U2624;"Battery Energy Control Module Lost Communication with Hybrid/EV Battery Interface Control Module 12"
U2625;"Battery Energy Control Module Lost Communication with Hybrid/EV Battery Interface Control Module 13"
U2626;"Reductant Control Module Lost Communication With Engine Control Module on Powertrain Sensor CAN Bus"
U2627;Reductant Control Module Lost Communication with Reductant Level Sensor
U2628;"Reductant Control Module Lost Communication with Reductant Concentration Sensor"
U2629;"Reductant Control Module Lost Communication with Reductant Tank Temperature Sensor 1"
U2630;"Reductant Control Module Lost Communication with Reductant Tank Temperature Sensor 2"
U2631;Reductant Control Module Lost Communication with Reductant Pressure Sensor
U3000;Control Module
U3001;Control Module Improper Shutdown Performance
U3012;Control Module Improper Wake-up Perfomance
DTC P06DA;Engine Oil Pressure Control Solenoid Valve Control Circuit
DTC P06DC;Engine Oil Pressure Control Solenoid Valve Control Circuit High Voltage
DTC P06DD;Engine Oil Pressure Control Solenoid Valve Stuck Off
DTC P06DE;Engine Oil Pressure Control Solenoid Valve Stuck On
DTC P06DB;Engine Oil Pressure Control Solenoid Valve Control Circuit Low Voltage
